videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
tK2xwdSsN_w,"Pixelbook Go Setup &amp; Review, What a Chromebook Can Do For You",UCjMVmz06abZGVdWjd1mAMnQ,Tech With Brett,2019-10-26,89616,1483,45,257,67017615,317000,435,1264.300048828125,2019-10-25,1272.25,2019-11-01
mj21jfvs1q8,Google Pixelbook One Year Later: Still Worth It?,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2018-11-19,85247,2019,71,389,23729823,156000,343,1068.27001953125,2018-11-16,1030.0999755859377,2018-11-23
3D48hpYX2iM,Pixelbook Go Unboxing,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2019-10-19,78315,2212,73,186,23729823,156000,343,1244.4100341796875,2019-10-18,1264.300048828125,2019-10-25
qtSYD8Ne3gE,Pixelbook vs. Pixelbook Go: We Pick A Winner,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2020-02-06,72473,2018,38,181,23729823,156000,343,1446.050048828125,2020-02-05,1518.6300048828125,2020-02-12
iDV3bkWfxnU,The 4K Google Pixelbook Go: Is It Worth Buying?,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2020-05-04,66314,1838,48,176,23729823,156000,343,1317.3199462890625,2020-05-01,1384.3399658203125,2020-05-08
s9mrR2tqVbQ,Running Linux Apps on the Pixelbook In A Container Via Crostini,UCkHgegL2XiXSlwY5zeCKKyg,Chrome Unboxed,2018-04-23,54066,751,28,89,23729823,156000,343,1077.3199462890623,2018-04-20,1031.449951171875,2018-04-27
IMONuB-Y-5I,Google Pixelbook Go review: Function over form,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-10-25,81806,1259,76,157,379639013,1170000,5292,1259.1099853515625,2019-10-24,1258.800048828125,2019-10-31
hRuhi5_NBYE,Google Pixel 4 and Pixelbook Go event in 15 minutes,UC-6OW5aJYBFM33zXQlBKPNA,Engadget,2019-10-15,59991,924,52,136,379639013,1170000,5292,1217.77001953125,2019-10-14,1244.280029296875,2019-10-21
fYS6nvSjA8Y,Introducing Google Pixelbook - Chromebook,UCp-kwKlknwsPu4diieeFz1A,Chromebook,2017-11-22,79967,540,82,84,230764310,176000,68,1050.300048828125,2017-11-21,1063.2900390625,2017-11-28
Gl1hTaybzqA,Google Pixel 2 rocks! The Pixelbook impresses &amp; more - Pocketnow Daily,UCO_vmeInQm5Z6dEZ6R5Kk0A,Pocketnow,2017-10-05,78227,3168,229,971,731555554,1790000,7329,966.780029296875,2017-10-04,1005.6500244140624,2017-10-11
_vrjGYtZIMw,"Google Pixel 2 leaks, Pixelbook, Home Mini, Galaxy S8+ deals &amp; more - Pocketnow Daily",UCO_vmeInQm5Z6dEZ6R5Kk0A,Pocketnow,2017-09-21,74133,2688,58,319,731555554,1790000,7329,947.5399780273438,2017-09-20,959.9000244140624,2017-09-27
U1C1wyO-hLY,PixelBook Go Unboxing // A More Affordable PixelBook!,UCVlMUh4WsDQvOxCJJXmWwdw,Matthew Moniz,2019-10-16,76013,1905,63,336,118097707,531000,970,1242.239990234375,2019-10-15,1241.199951171875,2019-10-22
v8A9REps8Jc,Google Pixelbook review,UC-kFCSJLpxuJdgMnQz8Dvrg,Android Central,2017-10-26,75154,1037,67,130,134242351,476000,2929,991.4600219726562,2017-10-25,1042.5999755859377,2017-11-01
SdEVRbiwjVA,Google Pixelbook Go Review,UCW6J17hZ_Vgr6cQgd_kHt5A,MobileTechReview,2019-10-28,75048,1690,42,258,267530603,830000,1667,1264.300048828125,2019-10-25,1272.25,2019-11-01
id2vwFfNbMY,PLAYING ROBLOX JAILBREAK ON GOOGLE PIXELBOOK! *RARE ITEM!*,UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,2018-05-27,72637,2186,112,639,447596263,2690000,3262,1084.0799560546877,2018-05-25,1135.0,2018-06-01
6u2qjbdo_1s,Google Pixelbook Go Review!,UCbR6jJpva9VIIAHTse4C3hw,Tim Schofield,2020-01-23,64385,1256,62,112,190304386,699000,1613,1483.8699951171875,2020-01-22,1456.699951171875,2020-01-29
Z8-dqvMC0n0,Google Pixelbook Revisited: Still A Top Chromebook!,UCbR6jJpva9VIIAHTse4C3hw,Tim Schofield,2019-06-19,54579,980,32,158,190304386,699000,1613,1105.239990234375,2019-06-18,1087.5799560546877,2019-06-25
